Sample Type/ Type d'�chantillon,Type,Start Date/ Date de D�but,Stop Date/ Date de Fin,Station Name/ Nom de Station,Province,Sr90 Activity/ Activit� (Bq/L),Sr90 Error/ Erreur (Bq/L),Sr90 Activity/Calcium / Activit�/Calcium  (Bq/g)
MILK,WHOLE,01-Jan-84,31-Mar-84,CALGARY,AB,1.05E-01,9.96E-03,9.70E-02
MILK,WHOLE,01-Apr-84,30-Jun-84,CALGARY,AB,6.28E-02,8.66E-03,7.47E-02
MILK,WHOLE,01-Jul-84,30-Sep-84,CALGARY,AB,5.80E-02,,
MILK,WHOLE,01-Oct-84,31-Dec-84,CALGARY,AB,5.50E-09,1.08E-09,5.39E-09
MILK,WHOLE,01-Jan-85,31-Mar-85,CALGARY,AB,4.10E-02,5.79E-03,4.02E-02
MILK,WHOLE,01-Apr-85,30-Jun-85,CALGARY,AB,4.10E-02,5.79E-03,3.69E-02
MILK,WHOLE,01-Jul-85,30-Sep-85,CALGARY,AB,4.10E-02,5.79E-03,3.73E-02
MILK,WHOLE,01-Oct-85,31-Dec-85,CALGARY,AB,4.10E-02,5.79E-03,3.83E-02
MILK,WHOLE,01-Jan-86,31-Mar-86,CALGARY,AB,5.95E-02,6.49E-03,5.67E-02
MILK,WHOLE,01-Apr-86,30-Jun-86,CALGARY,AB,7.99E-02,2.13E-02,7.91E-02
MILK,WHOLE,01-Jul-86,30-Sep-86,CALGARY,AB,6.62E-02,7.93E-03,6.19E-02
MILK,WHOLE,01-Oct-86,31-Dec-86,CALGARY,AB,6.27E-02,6.90E-03,6.21E-02
MILK,WHOLE,01-Jan-87,31-Mar-87,CALGARY,AB,5.11E-02,5.79E-03,5.11E-02
MILK,WHOLE,01-Apr-87,30-Jun-87,CALGARY,AB,5.95E-02,6.95E-03,5.72E-02
MILK,WHOLE,01-Jul-87,30-Sep-87,CALGARY,AB,4.93E-02,6.47E-03,4.83E-02
MILK,WHOLE,01-Oct-87,31-Dec-87,CALGARY,AB,4.83E-02,7.63E-03,4.93E-02
MILK,WHOLE,01-Jan-88,31-Mar-88,CALGARY,AB,4.11E-02,3.96E-03,3.99E-02
